record_id	topic_id
5001	1
5002	1
5003	0
5004	1
5005	1
5006	1
5007	1
5008	1
5009	1
5010	0
5011	0
5012	1
5013	1
5014	0
5015	0
5016	1
5017	1
5018	0
5019	1
5020	1
5021	0
5022	1
5023	1
5024	1
5025	1
5026	1
5027	1
5028	1
5029	1
5030	0
5031	0
5032	0
5033	1
5034	1
5035	1
5036	1
5037	1
5038	0
5039	1
5040	0
5041	0
5042	1
5043	1
5044	0
5045	1
5046	1
5047	1
5048	1
5049	1
5050	1
5051	1
5052	0
5053	1
5054	1
5055	0
5056	1
5057	0
5058	1
5059	1
5060	1
5061	1
5062	1
5063	1
5064	0
5065	1
5066	0
5067	0
5068	1
5069	0
5070	1
5071	1
5072	1
5073	0
5074	1
5075	1
5076	1
5077	1
5078	1
5079	0
5080	1
5081	1
5082	1
5083	1
5084	1
5085	1
5086	1
5087	1
5088	0
5089	1
5090	0
5091	1
5092	0
5093	1
5094	0
5095	1
5096	0
5097	1
5098	0
5099	1
5100	0
5101	0
5102	1
5103	1
5104	0
5105	1
5106	1
5107	1
5108	1
5109	0
5110	0
5111	1
5112	1
5113	0
5114	1
5115	1
5116	0
5117	1
5118	0
5119	1
5120	1
5121	1
5122	1
5123	1
5124	1
5125	1
5126	1
5127	1
5128	1
5129	0
5130	1
5131	1
5132	0
5133	0
5134	0
5135	1
5136	0
5137	1
5138	0
5139	1
5140	1
5141	0
5142	1
5143	1
5144	1
5145	1
5146	0
5147	1
5148	2
5149	0
5150	1
5151	1
5152	1
5153	1
5154	1
5155	0
5156	1
5157	1
5158	1
5159	1
5160	0
5161	1
5162	1
5163	1
5164	0
5165	1
5166	1
5167	1
5168	0
5169	0
5170	1
5171	0
5172	1
5173	1
5174	0
5175	1
5176	1
5177	0
5178	1
5179	1
5180	1
5181	1
5182	0
5183	0
5184	1
5185	0
5186	0
5187	1
5188	1
5189	1
5190	1
5191	0
5192	1
5193	1
5194	1
5195	1
5196	0
5197	1
5198	1
5199	0
5200	0
5201	1
5202	1
5203	1
5204	1
5205	0
5206	0
5207	0
5208	1
5209	0
5210	1
5211	1
5212	1
5213	1
5214	1
5215	1
5216	1
5217	0
5218	1
5219	1
5220	0
5221	0
5222	0
5223	0
5224	1
5225	1
5226	1
5227	1
5228	0
5229	1
5230	1
5231	0
5232	1
5233	1
5234	1
5235	0
5236	1
5237	1
5238	0
5239	1
5240	1
5241	1
5242	1
5243	1
5244	1
5245	1
5246	1
5247	1
5248	1
5249	1
5250	1
5251	0
5252	0
5253	1
5254	0
5255	1
5256	0
5257	1
5258	0
5259	1
5260	1
5261	0
5262	1
5263	0
5264	1
5265	0
5266	1
5267	1
5268	1
5269	1
5270	1
5271	1
5272	1
5273	1
5274	1
5275	1
5276	1
5277	0
5278	1
5279	0
5280	1
5281	1
5282	0
5283	0
5284	1
5285	1
5286	1
5287	0
5288	0
5289	1
5290	1
5291	0
5292	1
5293	0
5294	1
5295	1
5296	0
5297	1
5298	0
5299	0
5300	1
5301	1
5302	1
5303	0
5304	0
5305	1
5306	1
5307	0
5308	1
5309	1
5310	0
5311	0
5312	0
5313	1
5314	0
5315	1
5316	1
5317	0
5318	0
5319	1
5320	1
5321	1
5322	2
5323	1
5324	1
5325	0
5326	0
5327	2
5328	1
5329	1
5330	0
5331	0
5332	1
5333	1
5334	1
5335	1
5336	1
5337	0
5338	1
5339	1
5340	0
5341	0
5342	1
5343	0
5344	1
5345	1
5346	1
5347	1
5348	1
5349	1
5350	1
5351	1
5352	0
5353	0
5354	1
5355	1
5356	0
5357	0
5358	0
5359	1
5360	0
5361	1
5362	1
5363	1
5364	0
5365	0
5366	1
5367	1
5368	1
5369	1
5370	1
5371	1
5372	0
5373	1
5374	1
5375	1
5376	0
5377	1
5378	0
5379	1
5380	1
5381	0
5382	1
5383	0
5384	0
5385	1
5386	1
5387	1
5388	0
5389	1
5390	1
5391	1
5392	0
5393	1
5394	0
5395	0
5396	0
5397	1
5398	1
5399	1
5400	1
5401	1
5402	1
5403	1
5404	0
5405	0
5406	1
5407	1
5408	0
5409	1
5410	0
5411	1
5412	1
5413	1
5414	0
5415	1
5416	0
5417	1
5418	1
5419	1
5420	1
5421	1
5422	1
5423	0
5424	0
5425	1
5426	1
5427	1
5428	1
5429	1
5430	1
5431	0
5432	0
5433	0
5434	1
5435	0
5436	0
5437	0
5438	1
5439	1
5440	1
5441	0
5442	1
5443	1
5444	1
5445	0
5446	0
5447	0
5448	1
5449	1
5450	1
5451	0
5452	1
5453	1
5454	1
5455	1
5456	0
5457	0
5458	1
5459	0
5460	1
5461	1
5462	1
5463	2
5464	0
5465	1
5466	0
5467	1
5468	1
5469	2
5470	1
5471	1
5472	1
5473	0
5474	1
5475	2
5476	0
5477	1
5478	1
5479	1
5480	1
5481	1
5482	0
5483	1
5484	0
5485	1
5486	1
5487	0
5488	0
5489	1
5490	1
5491	0
5492	1
5493	1
5494	1
5495	1
5496	1
5497	1
5498	1
5499	0
5500	0
5501	0
5502	1
5503	1
5504	1
5505	1
5506	0
5507	0
5508	0
5509	1
5510	1
5511	1
5512	1
5513	1
5514	1
5515	1
5516	1
5517	0
5518	1
5519	1
5520	0
5521	1
5522	1
5523	0
5524	1
5525	1
5526	1
5527	0
5528	1
5529	0
5530	1
5531	0
5532	1
5533	0
5534	1
5535	0
5536	1
5537	1
5538	0
5539	1
5540	1
5541	1
5542	0
5543	0
5544	1
5545	0
5546	0
5547	1
5548	1
5549	0
5550	1
5551	1
5552	0
5553	1
5554	0
5555	1
5556	1
5557	1
5558	0
5559	1
5560	1
5561	0
5562	1
5563	0
5564	1
5565	1
5566	0
5567	1
5568	1
5569	0
5570	0
5571	0
5572	1
5573	1
5574	1
5575	1
5576	1
5577	1
5578	0
5579	1
5580	1
5581	1
5582	0
5583	1
5584	1
5585	1
5586	1
5587	0
5588	1
5589	0
5590	1
5591	0
5592	1
5593	1
5594	2
5595	1
5596	1
5597	0
5598	0
5599	1
5600	0
5601	1
5602	0
5603	0
5604	1
5605	1
5606	1
5607	1
5608	1
5609	1
5610	1
5611	1
5612	0
5613	0
5614	1
5615	0
5616	1
5617	1
5618	1
5619	0
5620	0
5621	1
5622	1
5623	1
5624	1
5625	1
5626	1
5627	1
5628	1
5629	1
5630	2
5631	1
5632	0
5633	0
5634	1
5635	1
5636	0
5637	1
5638	1
5639	1
5640	0
5641	1
5642	0
5643	0
5644	0
5645	0
5646	0
5647	0
5648	1
5649	0
5650	0
5651	1
5652	0
5653	1
5654	1
5655	1
5656	1
5657	0
5658	1
5659	1
5660	1
5661	1
5662	1
5663	1
5664	1
5665	1
5666	1
5667	1
5668	0
5669	1
5670	1
5671	0
5672	1
5673	1
5674	1
5675	1
5676	1
5677	0
5678	0
5679	0
5680	1
5681	1
5682	0
5683	0
5684	1
5685	1
5686	1
5687	1
5688	1
5689	1
5690	1
5691	1
5692	1
5693	0
5694	1
5695	1
5696	1
5697	1
5698	1
5699	1
5700	1
5701	1
5702	1
5703	1
5704	1
5705	0
5706	1
5707	1
5708	0
5709	0
5710	0
5711	1
5712	0
5713	0
5714	1
5715	1
5716	0
5717	0
5718	1
5719	1
5720	1
5721	1
5722	1
5723	1
5724	1
5725	1
5726	1
5727	1
5728	1
5729	1
5730	1
5731	1
5732	0
5733	0
5734	1
5735	1
5736	1
5737	1
5738	0
5739	1
5740	0
5741	0
5742	1
5743	1
5744	0
5745	1
5746	1
5747	0
5748	2
5749	0
5750	2
5751	1
5752	0
5753	0
5754	1
5755	1
5756	1
5757	1
5758	0
5759	0
5760	1
5761	1
5762	0
5763	0
5764	0
5765	0
5766	1
5767	0
5768	1
5769	0
5770	1
5771	0
5772	1
5773	0
5774	0
5775	0
5776	1
5777	1
5778	0
5779	1
5780	1
5781	1
5782	0
5783	0
5784	1
5785	1
5786	0
5787	1
5788	1
5789	0
5790	1
5791	1
5792	0
5793	0
5794	1
5795	0
5796	1
5797	1
5798	0
5799	1
5800	1
5801	2
5802	0
5803	1
5804	0
5805	0
5806	1
5807	1
5808	1
5809	0
5810	1
5811	0
5812	1
5813	0
5814	1
5815	0
5816	0
5817	1
5818	0
5819	1
5820	0
5821	1
5822	1
5823	1
5824	1
5825	1
5826	0
5827	0
5828	1
5829	1
5830	0
5831	1
5832	1
5833	1
5834	1
5835	1
5836	1
5837	1
5838	1
5839	0
5840	1
5841	0
5842	1
5843	1
5844	1
5845	0
5846	0
5847	1
5848	1
5849	1
5850	0
5851	1
5852	1
5853	1
5854	0
5855	0
5856	1
5857	1
5858	0
5859	1
5860	1
5861	1
5862	0
5863	0
5864	1
5865	0
5866	1
5867	0
5868	1
5869	1
5870	0
5871	1
5872	1
5873	0
5874	1
5875	1
5876	1
5877	0
5878	0
5879	1
5880	0
5881	0
5882	1
5883	0
5884	1
5885	0
5886	1
5887	1
5888	0
5889	0
5890	1
5891	0
5892	0
5893	1
5894	0
5895	0
5896	1
5897	1
5898	1
5899	1
5900	1
5901	1
5902	1
5903	1
5904	0
5905	1
5906	1
5907	1
5908	0
5909	1
5910	0
5911	1
5912	0
5913	1
5914	0
5915	1
5916	0
5917	1
5918	1
5919	1
5920	1
5921	1
5922	0
5923	1
5924	1
5925	1
5926	1
5927	2
5928	1
5929	1
5930	1
5931	1
5932	0
5933	1
5934	1
5935	1
5936	1
5937	1
5938	0
5939	1
5940	1
5941	0
5942	0
5943	2
5944	0
5945	1
5946	1
5947	1
5948	1
5949	0
5950	0
5951	1
5952	0
5953	0
5954	1
5955	1
5956	1
5957	0
5958	1
5959	1
5960	1
5961	1
5962	1
5963	1
5964	1
5965	1
5966	0
5967	1
5968	1
5969	1
5970	1
5971	0
5972	1
5973	0
5974	0
5975	0
5976	0
5977	0
5978	1
5979	0
5980	1
5981	1
5982	0
5983	1
5984	0
5985	1
5986	1
5987	1
5988	2
5989	1
5990	1
5991	1
5992	1
5993	1
5994	1
5995	0
5996	0
5997	1
5998	0
5999	1
6000	1
6001	1
6002	0
6003	0
6004	1
6005	1
6006	1
6007	1
6008	1
6009	1
6010	0
6011	1
6012	1
6013	1
6014	1
6015	1
6016	0
6017	1
6018	1
6019	1
6020	0
6021	1
6022	1
6023	1
6024	0
6025	1
6026	1
6027	0
6028	0
6029	0
6030	0
6031	1
6032	0
6033	0
6034	1
6035	0
6036	1
6037	1
6038	1
6039	1
6040	0
6041	0
6042	1
6043	1
